source,name,price,description,origin,process,roast_level,notes
fugol coffee roasters,kopi arabika solok bukik gompong washed 500 gr specialty coffee beans  biji,268000,origin bukik gompong solok sumatra barat altitude 11001450 masl variety sigararutang  lini s processing washed producer bukik gompong coffee tasting notes orange  brown sugar this coffee from bukik gompong solok west sumatra is grown at 11001450 masl its a washed process sigararutang  lini s variety from bukik gompong coffee expect bright notes of orange balanced with the sweetness of brown sugar biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,sumatra,washed,medium,"fruity, sweet"
fugol coffee roasters,kopi arabika solok bukik gompong washed 200 gr specialty coffee beans  biji,133000,origin bukik gompong solok sumatra barat altitude 11001450 masl variety sigararutang  lini s processing washed producer bukik gompong coffee tasting notes orange  brown sugar this coffee from bukik gompong solok west sumatra is grown at 11001450 masl its a washed process sigararutang  lini s variety from bukik gompong coffee expect bright notes of orange balanced with the sweetness of brown sugar biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,sumatra,washed,medium,"fruity, sweet"
fugol coffee roasters,kopi arabika solok bukik gompong washed 100 gr specialty coffee beans  biji,81000,origin bukik gompong solok sumatra barat altitude 11001450 masl variety sigararutang  lini s processing washed producer bukik gompong coffee tasting notes orange  brown sugar this coffee from bukik gompong solok west sumatra is grown at 11001450 masl its a washed process sigararutang  lini s variety from bukik gompong coffee expect bright notes of orange balanced with the sweetness of brown sugar biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,sumatra,washed,medium,"fruity, sweet"
fugol coffee roasters,biji kopi arabika palasari natural 200 gr specialty coffee bean  whole beans,153000,origin jawa barat process natural variety typica  sigararutang altitude 1400  1700 masl roasted lightmedium tasting notes red berries orange  black tea biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,jawa,natural,medium,"fruity, herbal"
fugol coffee roasters,biji kopi arabika palasari natural 100 gr specialty coffee beans  whole beans,81000,origin jawa barat process natural variety typica  sigararutang altitude 1400  1700 masl roasted lightmedium tasting notes red berries orange  black tea biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,jawa,natural,medium,"fruity, herbal"
fugol coffee roasters,biji kopi arabika mantesa bengkulu natural 1 kg single origin specialty coffee beans  whole beans,495000,new coffee from bengkulu produced by mantesa kopi family in sumber urip village curup bengkulu this coffee carefully crafted and grown at 1300 mdpl with blend of ateng  sigararutang varieties the coffee cherries are injected with ozone gas to eliminate microbes and create a hygienic environment for fermentation they are then fermented under anaerobic conditions for 84 hours before being dried on raised beds under direct sunlight origin sumber urip curug bengkulu process ozonic anaerobic natural variety ateng  sigararutang altitude 1300 masl roasted filter roast tasting notes pear white grape  brown sugar biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,bengkulu,"natural, anaerobic, fermented",medium,"fruity, sweet"
fugol coffee roasters,biji kopi arabika mantesa bengkulu natural 500gr single origin specialty coffee beans  whole beans,329000,origin sumber urip curug bengkulu process hyperwashed ozon thermalshock variety ateng  sigararutang altitude 1300 masl roasted filter roast tasting notes pear white grape  brown sugar biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,bengkulu,natural,medium,"fruity, sweet"
fugol coffee roasters,biji kopi arabika mantesa bengkulu natural 200gr single origin specialty coffee beans  whole beans,173000,new coffee from bengkulu produced by mantesa kopi family in sumber urip village curup bengkulu this coffee carefully crafted and grown at 1300 mdpl with blend of ateng  sigararutang varieties the coffee cherries are injected with ozone gas to eliminate microbes and create a hygienic environment for fermentation they are then fermented under anaerobic conditions for 84 hours before being dried on raised beds under direct sunlight origin sumber urip curug bengkulu process ozonic anaerobic natural variety ateng  sigararutang altitude 1300 masl roasted filter roast tasting notes pear white grape  brown sugar biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,bengkulu,"natural, anaerobic, fermented",medium,"fruity, sweet"
fugol coffee roasters,biji kopi arabika mantesa bengkulu natural 100gr single origin specialty coffee beans  whole beans,91000,new coffee from bengkulu produced by mantesa kopi family in sumber urip village curup bengkulu this coffee carefully crafted and grown at 1300 mdpl with blend of ateng  sigararutang varieties the coffee cherries are injected with ozone gas to eliminate microbes and create a hygienic environment for fermentation they are then fermented under anaerobic conditions for 84 hours before being dried on raised beds under direct sunlight origin sumber urip curug bengkulu process ozonic anaerobic natural variety ateng  sigararutang altitude 1300 masl roasted filter roast tasting notes pear white grape  brown sugar biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,bengkulu,"natural, anaerobic, fermented",medium,"fruity, sweet"
fugol coffee roasters,biji kopi arabica finca don obar sigararutang hsh 500gr specialty arabica coffee beans  biji,459000,finca don obar a coffee farm nestled on the slopes of mount papandayan within the nangklak block stands at an impressive altitude of 1630 meters above sea level under the leadership of eka teguh kurniawan the farm is dedicated to excellence during the harvest season each coffee cherry is handpicked with utmost care to ensure the tree remains unscathed and only the ripest yellowishred cherries are selected this sigararutang coffee is processed using a hermetically sealed honey method expect vibrant tasting notes of plum orange  figs celebrated for its bright fruity acidity smooth body and complex flavor profile this coffee stands out as a true gem among indonesian coffees origin mt papandayan garut west java indonesia altitude 1600 masl variety sigararutang processing hermetically sealed honey producer finca don obar tasting notes plum orange  figs biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, java",honey,medium,fruity
fugol coffee roasters,biji kopi berry smash espresso 1 kg espresso blend  biji,486000,origin kamojang garut west java indonesia producer wanoja coffee process anaerobic natural altitude 1500 masl variety mixed variety tasting notes berries orange brown sugar penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya biji kopi dapat langsung di giling langsung sesuai permintaan giling kasar giling sedang giling halus giling espresso tidak ada free sample untuk pembelian espresso beans terima kasih kepuasanandacitacitakami,"indonesia, java","natural, anaerobic",unknown,"fruity, sweet"
fugol coffee roasters,biji kopi berry smash espresso 500 gram espresso blend  biji,305000,origin kamojang garut west java indonesia producer wanoja coffee process anaerobic natural altitude 1500 masl variety mixed variety tasting notes berries orange brown sugar penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya biji kopi dapat langsung di giling langsung sesuai permintaan giling kasar giling sedang giling halus giling espresso tidak ada free sample untuk pembelian espresso beans terima kasih kepuasanandacitacitakami,"indonesia, java","natural, anaerobic",unknown,"fruity, sweet"
fugol coffee roasters,biji kopi berry smash espresso 200 gram espresso blend  biji,158999,origin kamojang garut west java indonesia producer wanoja coffee process anaerobic natural altitude 1500 masl variety mixed variety tasting notes berries orange brown sugar penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya biji kopi dapat langsung di giling langsung sesuai permintaan giling kasar giling sedang giling halus giling espresso tidak ada free sample untuk pembelian espresso beans terima kasih kepuasanandacitacitakami,"indonesia, java","natural, anaerobic",unknown,"fruity, sweet"
fugol coffee roasters,biji kopi arabica kamojang yellow caturra  150gr  specialty arabica coffee  biji,148999,halal id32110016691860324 origin kamojang garut west java indonesia farmer wanoja coffee process anaerobic natural altitude 1500 masl variety yellow caturra tasting notes honey red berries starfruit isi produk ini adalah 150 gram biji kopi dapat digiling langsung sesuai permintaan giling espresso giling kasar giling medium giling halus giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat checkou tpesanan beans dietalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, java","natural, honey, anaerobic",medium,fruity
fugol coffee roasters,biji kopi arabica sumatra kerinci mossto  150gr   specialty arabica coffee  biji,155000,halal id32110016691860324 origin bengkolan mt kerinci jambi indonesia farmer kelompok tani rukun saudara process mossto natural altitude 14001700 masl variety sigararutang andongsari lini s tasting notes lime prune grapefruit biji kopi dapat digiling langsung sesuai permintaan giling espresso giling kasar giling medium giling halus giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat checkou tpesanan beans dietalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, sumatra, kerinci",natural,medium,unknown
fugol coffee roasters,biji kopi arabica sumatra pollung espresso coffee beans 200 gram  biji,108000,an espresso with distinctive character from the highlands of pollung north sumatra processed using the traditional wet hulled method unique to sumatra this coffee delivers a fullbodied and complex flavor profile expect bright orange notes warm spices and a natural sweetness reminiscent of brown sugarthe wet hulled process creates a perfect balance of low acidity and earthy undertones complemented by subtle herbal aromas sumatra pollung espresso is ideal for those seeking a bold coffee experience with rich layered flavors and strong character origin pollung north sumatra indonesia process wet hulled variety typica lini s  ateng super altitude 12001500 masl flavour notes orange spice  brown sugar profile roast for espresso,"indonesia, sumatra","natural, semi washed",unknown,"fruity, sweet, herbal"
fugol coffee roasters,biji kopi arabika palasari washed 500 gr specialty coffee beans  whole beans,293000,origin jawa barat process washed variety typica  sigararutang altitude 1400  1700 masl roasted lightmedium tasting notes orange  tea like biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,jawa,washed,medium,"fruity, herbal"
fugol coffee roasters,biji kopi arabika enrekang angin  angin 100 gr single origin coffee  whole beans,81000,origin enrekang south sulawesi process washed varietys795 altitude 15001700 masl roasted lightmedium tasting notes black tea red berries  mandarin orange biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,enrekang,washed,medium,"fruity, herbal"
fugol coffee roasters,kopi arabika sisola tana luwu anaerobic natural 200 gram specialty coffee beans  biji,182000,sisola tana luwu series kini hadir dalam satuan origin tana luwu south sulawesi indonesia variety typica  lini s altitude 1350 masl tasting notes red apple white grape  blood orange process anaerobic natural sisola coffee menginokulasi kopi ini dengan ragi anggur untuk fermentasi yang lebih lama yang mereka temukan dalam blind tasting untuk menciptakan taste lebih bersih dan lebih manis dan berkontribusi pada konsistensi yang sangat baik dari batch ke batch dan bahkan dari tahun ke tahun setelah fermentasi kopi ini dipindahkan ke drying beds dengan adanya lendir lengket yang tersisa pada benih yang mengering di beds yang ditinggikan menjadi rona merah yang indah selama 814 hari roasted lightmedium biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,indonesia,"natural, anaerobic, fermented",medium,"fruity, sweet"
fugol coffee roasters,kopi arabica gayo pantan sinaku 500 gram specialty single origin  whole beans,335000,halal id32110016691860324 origin pantan sinaku aceh indonesia processor  gayo mandiri cooperative catur coffee company process anaerobic natural varietas ateng super timtim bourbon altitude 16001800 masl tasting notes apple pear  orange tersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, gayo, aceh","natural, anaerobic",medium,fruity
fugol coffee roasters,biji kopi es kopi susu 5 kg grosir espresso arabica beans bijibubuk  biji,204999,halal id32110016691860324 harap membaca keterangan harga 193000 adalah harga per kg untuk pembelian grosir 5 kg jika memilih item ini wajib checkout 5 kg penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya roast profile medium to dark roast tasting notes chocolate berries spice es kopi susu blend profile eskopisusublend diproduksi menggunakan mesin roasting dari froco company pengalaman kami diindustri kopi speciality telah dimulai sejak tahun 2015  tidak ada free sample untuk pembelian espresso beansterimakasih greatcoffeeforgreatpeople penting foto produkdesain produk dapat berubah tanpa ada pemberitahuan menyesuaikan stok kemasan kopi yang ada terimakasih,unknown,unknown,"medium, dark","chocolate, fruity"
fugol coffee roasters,espresso kopi susu special robusta 10 kg grosir bijibubuk  biji,158999,pirt 308327347034727 harap membaca keterangan harga 146000 adalah harga per kg untuk pembelian grosir 10 kg jika memilih item ini wajib checkout 10 kg penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya tidak ada free sample untuk pembelian espresso beans terima kasih robusta temanggung roasted medium tasting notes choco brown sugar penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karna sesuai stok kemasan kopi yang ada terimakasih,temanggung,unknown,medium,sweet
fugol coffee roasters,espresso kopi susu special robusta 5 kg grosir bijibubuk  biji,178000,pirt 308327347034727 harap membaca keterangan harga 147500 adalah harga per kg untuk pembelian grosir 5 kg jika memilih item ini wajib checkout 5 kg penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya tidak ada free sample untuk pembelian espresso beans terima kasih robusta temanggung roasted medium tasting notes choco brown sugar penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karna sesuai stok kemasan kopi yang ada terimakasih,temanggung,unknown,medium,sweet
fugol coffee roasters,biji kopi arabica toraja rantekarua 1 kg specialty single origin  biji,445000,halal id32110016691860324 origin rantekarua tana toraja sulawesi selatan process wet hulled varietas typica  s795 altitude 15001700 masl tasting notes orange spices brown cane sugar tersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,toraja,semi washed,medium,fruity
fugol coffee roasters,biji kopi arabica toraja rantekarua 500 gram specialty single origin  biji,298000,halal id32110016691860324 origin rantekarua tana toraja sulawesi selatan process wet hulled varietas typica  s795 altitude 15001700 masl tasting notes orange spices brown cane sugar tersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,toraja,semi washed,medium,fruity
fugol coffee roasters,biji kopi arabica toraja rantekarua 100 gram specialty single origin  biji,81000,halal id32110016691860324 origin rantekarua tana toraja sulawesi selatan process wet hulled varietas typica  s795 altitude 15001700 masl tasting notes orange spices brown cane sugar tersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,toraja,semi washed,medium,fruity
fugol coffee roasters,biji kopi arabica toraja rantekarua 200 gram specialty single origin  biji,153000,halal id32110016691860324 origin rantekarua tana toraja sulawesi selatan process wet hulled varietas typica  s795 altitude 15001700 masl tasting notes orange spices brown cane sugar tersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,toraja,semi washed,medium,fruity
fugol coffee roasters,gayo avatara carbonic maceration honey 500 gr single origin coffee  biji,312000,pirt 308327383034728 origin pegasing central aceh indonesia process carbonic maceration honey variety typica abyssinia catimor altitude 1640 masl roasted lightmedium tasting notes passion fruit red apple orange biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, gayo, aceh","honey, carbonic maceration",medium,fruity
fugol coffee roasters,gayo avatara carbonic maceration honey 1 kg single origin coffee  biji,525000,pirt 308327383034728 origin pegasing central aceh indonesia process carbonic maceration honey variety typica abyssinia catimor altitude 1640 masl roasted lightmedium tasting notes passion fruit red apple orange biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, gayo, aceh","honey, carbonic maceration",medium,fruity
fugol coffee roasters,biji kopi arabica flores tura jaji  1 kg  specialty single origin  biji,405000,daerah sokoria ndona timur flores area kelimutu flores proses honey process with 168 hours varietas bourbon s795 typica altitude 14001600 mdpl producer adena coffee tasting notes red apple brown sugar  orange tersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,flores,honey,medium,"fruity, sweet"
fugol coffee roasters,biji kopi arabica flores tura jaji  100gr  specialty single origin  biji,81000,daerah sokoria ndona timur floresarea kelimutu floresproses honey process with 168 hoursvarietas bourbon s795 typicaaltitude 14001600 mdplproducer adena coffeetasting notes red apple brown sugar  orangetersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan giling espresso giling kasar giling medium giling halus giling v60 disesuaikan dengan resep yang anda dapatpentingsemua pesanan yang masuk lewat dari jam 3 soreakan dikirim keesokan harinya kami akan berikan 8gr free sample beanssebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk samplegreatcoffeeforgreatpeoplepentingfoto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang adaterimakasih,flores,honey,medium,sweet
fugol coffee roasters,kopi arabica pangalengan natural  1kg specialty single origin  biji,429000,halal id32110016691860324 origin gunung tilu pangalengan jawa barat process natural varietas ateng super altitude 1550 mdpl tasting notes berries black tea  white grape tersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,jawa,natural,medium,"fruity, herbal"
fugol coffee roasters,kopi arabica pangalengan natural  500gr  specialty single origin  biji,293000,halal id32110016691860324 origin gunung tilu pangalengan jawa barat process natural varietas ateng super altitude 1550 mdpl tasting notes berries black tea  white grape tersedia hanya dalam ukuran 100gr 200gr 500gr dan 1kg biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,jawa,natural,medium,"fruity, herbal"
